2020-06-27 17:18:25,662 INFO __main__ center:640   x_medium: 428  <max 475 |mid 420 | min 300> Position: 430
2020-06-27 17:18:25,662 INFO __main__ centerY:360   y_medium: 377  <max 375 |mid 350 | min 200> PositionY: 336
2020-06-27 17:18:25,717 INFO __main__ center:640   x_medium: 546  <max 475 |mid 420 | min 300> Position: 432
2020-06-27 17:18:25,718 INFO __main__ centerY:360   y_medium: 446  <max 375 |mid 350 | min 200> PositionY: 336
2020-06-27 17:18:25,773 INFO __main__ center:640   x_medium: 545  <max 475 |mid 420 | min 300> Position: 434
2020-06-27 17:18:25,773 INFO __main__ centerY:360   y_medium: 517  <max 375 |mid 350 | min 200> PositionY: 338
2020-06-27 17:18:25,829 INFO __main__ center:640   x_medium: 544  <max 475 |mid 420 | min 300> Position: 436
2020-06-27 17:18:25,830 INFO __main__ centerY:360   y_medium: 540  <max 375 |mid 350 | min 200> PositionY: 340
2020-06-27 17:18:25,887 INFO __main__ center:640   x_medium: 595  <max 475 |mid 420 | min 300> Position: 438
2020-06-27 17:18:25,887 INFO __main__ centerY:360   y_medium: 545  <max 375 |mid 350 | min 200> PositionY: 342
2020-06-27 17:18:26,144 INFO __main__ center:640   x_medium: 639  <max 475 |mid 420 | min 300> Position: 438
2020-06-27 17:18:26,144 INFO __main__ centerY:360   y_medium: 543  <max 375 |mid 350 | min 200> PositionY: 344
2020-06-27 17:18:26,395 INFO __main__ center:640   x_medium: 619  <max 475 |mid 420 | min 300> Position: 438
2020-06-27 17:18:26,395 INFO __main__ centerY:360   y_medium: 500  <max 375 |mid 350 | min 200> PositionY: 346
2020-06-27 17:18:26,646 INFO __main__ center:640   x_medium: 632  <max 475 |mid 420 | min 300> Position: 438
2020-06-27 17:18:26,647 INFO __main__ centerY:360   y_medium: 448  <max 375 |mid 350 | min 200> PositionY: 348
2020-06-27 17:18:26,739 INFO __main__ center:640   x_medium: 672  <max 475 |mid 420 | min 300> Position: 436
2020-06-27 17:18:26,740 INFO __main__ centerY:360   y_medium: 420  <max 375 |mid 350 | min 200> PositionY: 350
2020-06-27 17:18:26,796 INFO __main__ center:640   x_medium: 679  <max 475 |mid 420 | min 300> Position: 434
2020-06-27 17:18:26,796 INFO __main__ centerY:360   y_medium: 411  <max 375 |mid 350 | min 200> PositionY: 352
2020-06-27 17:18:27,051 INFO __main__ center:640   x_medium: 658  <max 475 |mid 420 | min 300> Position: 434
2020-06-27 17:18:27,052 INFO __main__ centerY:360   y_medium: 416  <max 375 |mid 350 | min 200> PositionY: 354
2020-06-27 17:18:27,302 INFO __main__ center:640   x_medium: 659  <max 475 |mid 420 | min 300> Position: 434
2020-06-27 17:18:27,303 INFO __main__ centerY:360   y_medium: 409  <max 375 |mid 350 | min 200> PositionY: 356
2020-06-27 17:18:27,554 INFO __main__ center:640   x_medium: 656  <max 475 |mid 420 | min 300> Position: 434
2020-06-27 17:18:27,555 INFO __main__ centerY:360   y_medium: 338  <max 375 |mid 350 | min 200> PositionY: 358
2020-06-27 17:18:27,846 INFO __main__ center:640   x_medium: 652  <max 475 |mid 420 | min 300> Position: 434
2020-06-27 17:18:27,847 INFO __main__ centerY:360   y_medium: 306  <max 375 |mid 350 | min 200> PositionY: 358
